,prob_0,prob_1,Class_0,Class_1,Gender,Race,Hispanic,Age,Income,Residence,Child,Assisted_Living,State,Vaccine,Chronic,Vulnerable_contact,Health_Insurance,News,Political,Self_employed,Remote,Education,Pregnant,Vehicle
1,1.0,6.29438691696843e-167,1.0,0.0,Female,White,No,50-64,"< $35,000",Suburban,No,No,Mississippi,Yes,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,"1 or more years of college credit, no degree",,No
2,1.0,0.0,1.0,0.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,Ohio,Yes,No,Yes,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Postgraduate degree,No,Yes
3,2.3150643871500938e-14,0.9999999999999769,0.0,1.0,Female,White,No,35-49,"$35,000 - 75,000",Suburban,No,No,Illinois,Yes,No,No,Yes,TV (including cable),Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
4,2.5974998092021796e-31,1.0,0.0,1.0,Female,White,Yes,35-49,"$75,000 - 150,000",Rural,Yes,No,South Carolina,Yes,Yes,Yes,Yes,"Print media (newspapers, journals)",Republican,No,Yes,Some college credits,No,Yes
5,1.434424112911226e-32,1.0,0.0,1.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,South Carolina,Yes,Yes,No,Yes,News apps or websites,Democrat,No,No,High school or GED,No,Yes
6,2.0217638507210683e-25,1.0,0.0,1.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,Ohio,Yes,Yes,No,Yes,Radio or podcasts,Other,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
7,1.2097056646535517e-82,1.0,0.0,1.0,Male,White,No,35-49,"$75,000 - 150,000",Urban,Yes,No,Tennessee,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,Yes,Yes,Postgraduate degree,No,Yes
8,0.9808649661820978,0.019135033817901256,1.0,0.0,Female,White,No,50-64,"< $35,000",Urban,No,No,New York,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
9,4.534406749248291e-16,0.9999999999999996,0.0,1.0,Male,White,No,≥ 65,"< $35,000",Suburban,No,No,Texas,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
10,3.966405319419853e-22,1.0,0.0,1.0,Female,White,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Pennsylvania,Yes,No,No,Yes,TV (including cable),Democrat,No,No,High school or GED,No,No
